Invoice_Name,Fournisseur,Date_Facture,Num_Facture,TTC,TT,TVA
2.jpg,KIPRINT,13/01/2023,FV230007,586.8,489.0,97.8
3.jpg,FUN PLACE,14/04/2023,FUNPLACE - 2023/000403,3864,3220,644
49.jpg,LYDEC,30/03/2023,1507042573 AM,224.28,209.59,14.69
57.jpg,ARCANES TECHNOLOGIES,04/01/2023,223285-23-DJ,226.8,189.0,37.8
58.jpg,NETTOPAP,10/03/2023,230058,3026.45,2522.04,504.41
61.jpg,MOBILIA,22/07/2022,202212194,3588,2990,598
66.jpg,PAPETERIE IMIZEGH,03/01/2023,00000002,1250,1041.68,208.32
67.jpg,CAPMAN,10/05/2023,FA2304843,134.1,111.75,22.35
72.jpg,MAROC TELECOM,01/10/2022,0001141024102022,500,416.67,83.33
76.jpg,ONETECHR,09/03/2023,FA2303-0161,420,350,70
109.jpg,DUOWEB,17/01/2023,FP|202301|007,2100,1750,350
114.jpg,LATELIER DU VOYAGE,31/12/2022,CMN/22/INV/01/050592,4461,4431,5
121.jpg,BOXY DOM,18/08/2022,001022,5000,4166.67,833.33
129.jpg,IKEA,08/07/2022,300309732,8695.6,7246.37,1449.23
131.jpg,PRINT CENTER,13/03/2023,002/2023,4080,3400,680
151.jpg,CMI,26/07/2022,003052404000075,120,100,20
164.jpg,MAROC TELECOM,01/08/2022,0000868515082022,500,416.67,83.33
307.jpg,PAPETERIE IMIZEGH,11/05/2023,000000002007,1186.4,988.66,197.74
311.jpg,ELECTRO AINANE,03/04/2023,N12.04.2023,1650,1375,275
314.jpg,ASSURLAND,5/01/2023,22/0004104,2586,2586,0
315.jpg,RENAULT,21/06/2022,044797,152360,142684,9675
316.jpg,ELECTROPLANET,30/01/2023,508/30-012023/00242069,12909,10757,2151
317.jpg,LYDEC,22/03/2023,C060200093,1637,1350,286
319.jpg,MAROC TELECOM,07/04/2023,0000044161042023,157.5,157.5,0
327.jpg,BRICOMA,15/01/2022,0122003246,58.8,49.0,9.8
334.jpg,IMPRIMOS,24/10/2022,18020,6240,5200,1040
340.jpg,BIG OFFICE,16/07/2022,20220268,21240,17700,3540
383.jpg,MOUHCINE FTOUHI,28/03/2023,000 001,3100,3100,0
417.jpg,KAYAR,11/05/2023,F2023/00297,13777.31,11481.09,2296.22
419.jpg,PRO NUMERIQUE,01/02/2023,FA2023043,1300,1083.33,216.67
